Address;Text;Date;Stars
Невский просп., 48;Очень нравится этот магазин, много интересных позиций, вкусные продукты собственной марки и хороший выбор молочной продукции. Но очень смущает, что в кулинарном цехе прям при тебе делают суши и пиццу сотрудники без перчаток и с торчащими из под головных уборов волосами.;28 июля;4
Невский просп., 48;Очень классный магазин 👍👍👍советую всём к посещению, вкусная еда, можно брать с собой, можно поесть там, цены приемлимые. Приезжали в Питер, (питались в столовой 1,но качество еды,оставляет желать лучшего), хорошо увидела в поисковике Спар и не пожалела, всём приезжим советую посетить данное завершение;18 августа;5
Невский просп., 48;Чистый магазин, широкий ассортимент, очень вкусная продукция собственной пекарни и замечательная, душевная, милая кассир Лале, в очередь к которой всегда встаю с большим удовольствием! 😊;20 апреля;5
Невский просп., 48;Уникальный магазин! Совмещение супермаркета и столовой. Можно купить на раздаче разнообразную еду (суши, овощи, мясо) и тут же в зале поесть. Для этого есть специальные столики, рядом есть краны, мыло, можно помыть руки. Есть микроволновка, столовые приборы. Еда вкусная, качество хорошее. Все готовят тут же.;13 июля;5
Невский просп., 48;Очень удачный на наш взгляд магазин. Громадный выбор всевозможных продуктов и готовых блюд по вполне приемлемым ценам. Пока жили в Питере закупались питанием только там. С удовольствием рекомендую посетить.;25 июня;5
Невский просп., 48;Огромный выбор продовольственных товаров, вежливые сотрудники, чистые и ухоженные помещения, прямо там можно купить готовую еду, разогреть в микроволновке и вкусно покушать, доступные цены.;24 июня;5
Невский просп., 48;Выбор товаров большой. Качество разное. Преимущественно хорошее, но бывают исключения. Купила очень вкусный ржаной хлеб производства собственной пекарни Spar. Но его же невозможно съесть сразу. На следующее утро в пакете вместо хлеба был слипшийся комок зеленой плесени. Обидно.Один раз в гастрономии продали не те сосиски.В молочном отделе иногда продаётся товар со сроком хранения на грани.;6 июля;3
Невский просп., 48;Прекрасное место вкусно и быстро поесть, готовят из под ножа, очень вкусные люля из баранины, овощной шашлык, соба с говядиной, курицей, стеклянная лапша с говяжьего вырезки, свежие салаты из сезонных овощей, пицца под заказ, рекомендую всем гостям и жителям города! Легко найти перекус под свой вкус!;13 июня;5
Невский просп., 48;Прекрасный сервис, разнообразие ассортимента, уютный фудкорт для обеда, свежий товар, приемлемые цены с учётом того что магазин премиум класса. Всем советую зайти каждый найдёт то что ему нужно.;12 марта;5
Невский просп., 48;Супермаркет от слова СУПЕР!!!! Ассортимент всего чего хочется и не только!) Оооочень порадовал отдел кулинарии: и салаты, и роллы , и паровые котлеты/курица -гриль/ребышки/жареная рыба+ разные гарниры!!! Отдельное спасибо за выпечку: таких круассанов и глазированных донатов больше не найти!!!P .S. откройтесь в нашем городе!!!) Явка будет обеспечена);7 августа;5
Невский просп., 48;Отличный магазин! На удивление есть практически всё. В таком удобном месте на Невском неожиданно встретить такой магазин. Много выбора готовой еды, и все не плохо приготовлено. Судя по количеству людей пользуется большим спросом;23 мая;5
Невский просп., 48;Люблю сюда заходить, прогуливаясь по Невскому. Широкий выбор напитков, готовой еды, выпечки. Можно купить стакан нарезанных фруктов и пойти дальше гулять. Есть зона где можно съесть то, что купил. Раковина, микроволновки, приборы.;22 августа;5
Невский просп., 48;Хороший, свежий ассортимент продуктов . Адекватные цены как в любом супермаркете . Главное, что можно покушать свежей еды, на любой вкус и кошелек . Всё очень удобно расположено;15 июля;5
Невский просп., 48;Люблю магазин Спар на Невском! Продукты хорошие, кулинария, ассортимент шикарный - вопросов нет. НО… Неужели нельзя раз и навсегда объяснить персоналу элементарные правила общения с покупателями?? Или они перегружены настолько, что от усталости у них крыша едет, либо это косяк администрации и управления. Ну как вообще возможно, чтобы продавец кулинарии женщина по имени Нилюфар, на вежливый вопрос «где найти готовые роллы?», сначала повернулась спиной и пошла прочь со злобным лицом, а потом после короткой перебранки сказала покупателю «у вас проблемы!». Просто сюр какой то.. И такое далеко не впервые! Вечное хамство и постные лица в рыбном отделе. Перебранки.. не понимаю почему за этим не следит руководство.;30 июня;3
Невский просп., 48;Чудесный магазин, вкусная кулинария, всегда свежие продукты, много деликатесов. Хороший отзывчивый персонал, портит все только продавщица горячей кухни Александра, все время недовольная, кричит на покупателей, как будто они виноваты, что ей приходится там работать, ведёт себя с ненавистью и остервенением, причем из дня в день.;20 апреля;1
Невский просп., 48;Удобное расположение. Большой ассортимент. Овощи фрукты всегда свежие. Мясную продукцию нарезают, это очень удобно. Пару раз брал готовые салаты. Нареканий нет. Цены адекватные. Рекомендую.;27 августа;5
Невский просп., 48;Гипермаркет с фудкортом в историческом центре СПб, очень неожиданно. Находка для туриста, несколько раз обедали там. Огромный выбор готовой еды, вполне вкусно и недорого.;27 августа;5
Невский просп., 48;Живу рядом с Евроспаром и часто там бываю. Хороший ассортимент продуктов, много кулинарии и выпечки. Хороший выбор овощей и фруктов. В зале чисто. Не нравится, что кассиры плохо знают ассортимент, особенно овощей и фруктов и часто пробивают цену более дорогого товара. Приходится потом долго разбираться, чтобы получить переплаченные деньги после проверки чеков.;2 января;4
Невский просп., 48;Все необходимое есть, большой плюс то, что наверху есть таблички с обозначением отделов. Легко найти то, что нужно. За время пребывания в СПб были в магазине поздно вечером, к сожалению к этому времени свежего хлеба уже не было. Если много людей, то с тележками достаточно непросто разъехаться. Минус- в электронной кассе нет возможности отсканировать приложение Spar.;9 июня;4
Невский просп., 48;Большой выбор товаров.Разная ценовая категория .Есть кассы самообслуживания, что позволяет уменьшить очередь в кассы.Чисто и аккуратно.Вкусная и доступная готовая еда.;14 августа;5
Невский просп., 48;По сравнению с лэндом который там раньше был- и рядом не стоял, магазин хоть и большой но прям очень много народа, такой впечатление что весь город собрался в этом магазине. Кассиры по хамски отвечают, с таким лицом сидят как будтотим кто-то плюнул в суп,похоже они не проходили инструктаж прежде чем их посадили на кассу, после первого посещения, нет больше желания туда ходить. Видимо постоянные покупатели им не нужны рас уж берут таких кассиров.;7 мая;1
Невский просп., 48;Хотите поесть недорого? Вам сюда..на вынос или на месте кухня отменная. Шашлыки👍салаты суши роллы превосходные. Одно из самых любимых мест. Чисто, персонал приветливый Рекомендую;27 июня;5
Невский просп., 48;Отличный магазин, огромный выбор готовой еды и закусок, каждый найдёт что-то на свой вкус! Работает круглосуточно, есть кассы самообслуживания, сотрудники всегда готовы прийти на помощь, объяснить и посоветовать.;2 мая;5
Невский просп., 48;Классный магазин, где можно купить не только продукты, но и готовую еду, там же можно и поесть. Есть раковина, столовые приборы микроволновки, очень удобно. Выбор еды очень большой, вкусно и не дорого.;18 июля;5
Невский просп., 48;"Очень тесно для столь большого магазина! В других магазинах этой же компании я ранее не встречал такой проблемы поскольку большинство были просторными, а оставшаяся часть относились к подкатегории именно минимаркетов от которых и не ожидаешь чего-то масштабного. А тут чтобы пройти в отдел с соусами мне пришлось ждать пока ""пробка"" из покупателей пройдёт вперёд. Классы самообслуживания были в 4-х экземплярах, что маловато, но не критично. Также не порадовала грязь на полу ☹️. За исключением этих недостатков магазин отличный, но это свойственно всем магазинам этой компании (т.е. низкие цены, готовая еда на любой вкус, множество напитков собственного производства, богатый выбор молочной продукции и т.д.)";19 июля;3
Невский просп., 48;Обожаю Спар за то, что можно купить готовую еду, причём недорого и большой выбор. Не советую покупать купаты, они были сильно заветренные и невкусные... Ещё было забавно то, что не было одноразовых вилок вообще в магазине, только ложки, ну и целые наборы с тарелками и стаканами, которые были не нужны. Пришлось попросить вилки в кофейне, которая была рядом;15 августа;4
Невский просп., 48;Отличный магазин, огромный ассортимент, есть зона приема пищи с микроволновками, столами со стульями и пластиковыми столовыми приборами. Цены тоже приемлемые, но народа бывает очень много, так как это центр);1 сентября;5
Невский просп., 48;Чудесный магаз с большим ассортиментом товаров. Еще и недалеко от метро, и в самом центре! Кулинария нравится больше чем в Москве. Из-за большой проходимости продавцы немного уставшие… народу много, но все быстро);25 мая;5
Невский просп., 48;Случайно посетили данный сетевой магазин. Отдел кулинарии (готовая еда) заставил очень удивиться. Какая там только кухня не представлена. Различные виды гарниров. Также представлена возможность покушать тем кто придерживается правильного питания. Суши изумительные, Очень выгодный вариант покушать в центре Санкт-Петербурга.;2 августа;5
Невский просп., 48;Все отлично кроме одного, из-за чего не хочется возвращаться в этот магазин. Километровые очереди на домашней кухне. На огромнейший аасортимент порой стоят 2 продавца. Регулярная история. Как не зайду, вечено очереди. Экономят на персонале. Столпотворение постоянно в и без того узком проходе магазина, вечно как в набитом автобусе пробираешься по всему магазину, чтобы что то взять. Это просто невозможно.;5 августа;1
Невский просп., 48;Магазин действительно хорошего уровня и с большим ассортиментом. Нравится местная кухня, особенно плов. За магазином есть бесплатная парковка (с 20.00 до 8.00), если кому интересно.;17 марта;5
Невский просп., 48;2 - это удивительный фильм, который заставляет задуматься о множестве вещей. Он сочетает в себе драму, боевики и фантастику в потрясающем сюжете. Актерская игра на высшем уровне, особенно в исполнении главных героев. Режиссеру удалось создать неповторимую атмосферу и захватывающую экшн-сцены, которые не оставляют равнодушными. Настоящее киноискусство!;29 августа;5
Невский просп., 48;Лучший СМ в центре! Огромный выбор качественных свежих продуктов, включая деликатесы. Отличная вкусная готовая еда и выбор ее не ограничен 5-7 позициями. В каждый свой приезд в Питер отовариваемся здесь. Постоянные скидки на дорогостоящие товары радуют, обслуживание в отделах быстрое, упаковка качественная! Единственная проблема-сбои на кассах самообслуживания, поэтому лучше в очередь к кассирам. Поставщики у СМ отменные, честные.;20 декабря 2022;5
Невский просп., 48;Люблю этот магазин, тут есть продукты, которых нет в других. Скидки частенько ловлю 😊👍🏻. Персонал всегда поможет, если обращусь. Удобное расположение чисто и почти нет очередей.;9 августа;5
