store_name,store_type,store_address,store_district,text,stars,date,Parameter
Дикси,Супермаркет,"Лиговский проспект, 1",Смольнинское,"Ад! 1 касса работает, а всего касс 4!!! Ужасное тношение к покупателям, живу рядом и не только ко мне так относились а ко многим! Грязь везде!",1.0,2022-01-31,текст про расположение магазина
Пятерочка,Супермаркет,"Черняховского, 16/5",Лиговка-Ямская,"Адекватные цены, хорошие сотрудники",5.0,2023-08-23,текст про персонал магазина
Дикси,Супермаркет,"Большая Московская, 5",Владимирский,"Администратор ,работающий в ночь на 8октября 2022г ,-вор и хам!Корми своих троих детей на сто украденных рублейПостоянно в ночное время!!!(заметьте),снимают с кассы скидки по карте""Дикси""и проводят товар по полной стоимости,в надежде ,что покупатель в том чеке,что выдается не разберется,таким уж мелким шрифтом написано!На вопрос о возврате разницы ,админ хамит, орёт,манипулирует тремя своими детьми,""папаша-герой""и пытается вину переложить на покупателя,типа карта не прошла,вопрос 100рублей!!.Но ведь за ночь сколько таких обманутых покупателей пройдет?Вот и прокормит""горе-папаша"" своих троих детей.. Только и у покупателей есть дети,и пенсии не у всех персональные,а сами знаете какие..Пришёл ответ от администрации сети Магазинов ""Дикси""о том,что проведена проверка по моей жалобе, результат -сотрудник уволен,предписание администратору магазина актуализировать все ценники до 25.10.2022гВывод-Народ,не молчите-отстаивайте свои права!",1.0,2022-10-22,текст про персонал магазина
Пятерочка,Супермаркет,"Невский проспект, 146",Смольнинское,"Администратор 14.06.2023 (без бейджа) неопрятного вида, некомпетентный. Был задан вопрос про отсутствие QR кода на бутылке с водой ""Черноголовка для детей питьевая вода для детского питания"". Вместо того чтобы дать ответ и выяснить причину отсутствия QR кода, смог только предположить, что товар выпущен до введения маркировки - на ошибочность чего ему было указана путем указания даты на маркировке. Получив факты отрицающие его версию, Не смог объяснить почему в магазине находится немаркиррванный товар и начал сводить диалог к ""купите другую"", ""будете жаловаться в компетентные органы укажите мою фамилию (намекая на отсутствие бейджа)"". Позже путем изучения интернета была выяснена причина отсутствия маркировки, Пятёрочке в этом вопросе двойка.",1.0,2023-06-14,текст про персонал магазина
Пятерочка,Супермаркет,"Правды, 22",Владимирский,"Администратор которая с чёрными волосами просто 🤡 Отказалась обменять или вернуть деньги за товар у которого не понравился вкус, хотя покупатель имеет на это полное право) с белым волосами поменяла и все нормально. Позор конечно",1.0,2023-06-30,текст про персонал магазина
Пятерочка,Супермаркет,"Марата, 65/20",Владимирский,"Аккуратней, проверяйте чеки на соответствие ценников, часто не соответствуют, следите вообщем!!!",2.0,2023-03-12,текст про цены товаров
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Аккуратно, персонал вежлив, в обеденной группе убираются, довольно уютно можно перекусить тут же не выходя из магазина. Большой плюс, что магазин круглосуточный.",5.0,2023-06-07,текст про персонал магазина
Вкусвилл,Супермаркет,"Невский проспект, 130",Смольнинское,Аккуратный магазин в самом центре.,5.0,2023-08-10,текст про расположение магазина
Пятерочка,Супермаркет,"Невский проспект, 146",Смольнинское,Акции это главный плюс Пятерочки. Товары неплохие по качеству. Персонал так себе.,4.0,2022-09-23,текст про качество товаров
Вкусвилл,Супермаркет,"Невский проспект, 130",Смольнинское,"Английскую королеву случайно наняли работать в этот магазин. Зовут Ирина, возраст 50+. Не здоровается, не прощается, к кассе подходит, только если очень попросить, очень медленно и вальяжно, и как бы недоумевая, почему она вообще должна работать и кого-то там обслуживать. Такие вот дела.",2.0,2022-05-24,текст про персонал магазина
Дикси,Супермаркет,"Большая Московская, 5",Владимирский,"Антисанитария, грязь, вонь (плесени) просрочка.....Фу-фу фу-фу-фу",1.0,2023-07-20,текст про чистоту магазина
Пятерочка,Супермаркет,"Черняховского, 16/5",Лиговка-Ямская,Ассортимент,4.0,2022-08-23,текст про цены товаров
Пятерочка,Супермаркет,"Суворовский проспект, 10",Смольнинское,"Ассортимент , чистота",5.0,2023-08-21,текст про чистоту магазина
Дикси,Супермаркет,"Лиговский проспект, 91",Владимирский,"Ассортимент большой, скидки есть, качество отличное, очередь маленькая!",5.0,2023-02-04,текст про качество товаров
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,Ассортимент годный,5.0,2022-09-12,текст про качество товаров
Вкусвилл,Супермаркет,"Кременчугская, 17, корп. 2",Лиговка-Ямская,"Ассортимент гораздо менее богатый, чем в большинстве других магазинов сети.",4.0,2022-06-15,текст про ассортимент товаров
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Ассортимент готовой продукции очень радует. Цены приемлемые, для Невского проспекта просто отличные.",5.0,2023-06-11,текст про ассортимент товаров
Вкусвилл,Супермаркет,"Литейный проспект, 54",Литейный,"Ассортимент достаточно большой. То, что заказал наш ребенок в нескольких магазинах других сетей не обнаружили, а здесь купили. В принципе можно приобрести продукты любой категории.",5.0,2023-09-02,текст про ассортимент товаров
Пятерочка,Супермаркет,"Полтавский проезд, 2",Лиговка-Ямская,Ассортимент и быстрота обслуживания,5.0,2023-03-10,текст про качество товаров
Пятерочка,Супермаркет,"Полтавский проезд, 2",Лиговка-Ямская,"Ассортимент как в пятерочке, именно в этой кассир обычно один, но правда чисто!",5.0,2023-03-16,текст про чистоту магазина
Пятерочка,Супермаркет,"Моисеенко, 22, лит.З",Смольнинское,Ассортимент как во всех магазинах этой сети.Доброжелательные продавцы,5.0,2022-11-28,текст про качество товаров
Вкусвилл,Супермаркет,"Марата, 21",Владимирский,"Ассортимент как всегда хороший, овощи, фрукты, ягоды... Все свежее.Магазин маленький, работников 3. Один раскладывал товар по полкам и двое сидели в отдельной комнате.Стояла у кассы минут 5, никто не подходил, пока сама не подошла. При оплате не спросили карту и даже пакет не предложили. Если идти в данный магазин, то только оплачивать картой на кассе самообслуживания, потому что клиентоориентированности особой нет.Сама буду избегать данный магазин до последнего.",2.0,2022-07-09,текст про расположение магазина
Магнит,Супермаркет,"Лиговский проспект, 29",Смольнинское,"Ассортимент как и во всех подобных сетевых магазинов присутствует.Цены какие то выше ,какие то ниже чем у других.По пути на работу.",4.0,2023-07-12,текст про цены товаров
Пятерочка,Супермаркет,"Правды, 22",Владимирский,"Ассортимент магазина очень бедный,качество продуктов оставляет желать лучшего (иногда попадается просроченный товар.)Фрукты и овощи крайне редко бывают хорошего качества.Кстати, под алкогольную продукцию выделен целый зал .Мыло представлено двумя наименованиями:Хвойное и Детское ,как в СССР.",2.0,2022-06-28,текст про качество товаров
Дикси,Супермаркет,"Рылеева, 20/51",Смольнинское,"Ассортимент маловат, но цены допустимые.",4.0,2023-08-30,текст про цены товаров
Пятерочка,Супермаркет,"Литейный проспект, 43",Литейный,Ассортимент маловат. Чисто. На кассе быстро обслуживают.,4.0,2022-06-17,текст про чистоту магазина
Магнит,Супермаркет,"Лиговский проспект, 29",Смольнинское,Ассортимент мясного и рыбного отдела скудный. Цены выше среднего. Плюсом полугипермаркета является его шаговая доступность. Так же достоинством можно считать бесплатную доставку и промокоды которые присылают в приложении.,3.0,2023-08-09,текст про ассортимент товаров
Пятерочка,Супермаркет,"Моисеенко, 22, лит.З",Смольнинское,"Ассортимент на полках не стабильный. Наличие позиций по количеству не выдерживается. Сыро-молочная продукция, кондитерка, соки-воды: сегодня позиция есть, завтра её нет. Не понимаю, как вообще такое возможно в магазине X5RG в центральном районе города. Наивные отговорки сотрудников в стиле ""раскупили"" не выдерживают никакой критики - магазин большой и просторный, завезти сюда товар можно с большим запасом. Вывод: в этом магазине нарушены принципы продуктового ритейла, а руководитель этой торговой точки не умеет прогнозировать продажи и планировать запасы. И, кстати, цены выше, чем в московских пятерочках (на одни и те же позиции).По совокупности недостатков я созрел для написания гневного письма на среднюю калитниковскую. Мои неоднократные беседы с персоналом магазина к каким-либо результатам не привели.Из плюсов: есть зона выпечки и кассы самообслуживания.",1.0,2023-04-06,текст про расположение магазина
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,Ассортимент не очень,4.0,2023-06-26,текст про цены товаров
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,"Ассортимент не очень большой, большие очереди, пахнет будто там живут бездомные",3.0,2022-08-09,текст про персонал магазина
Дикси,Супермаркет,"Перекупной переулок, 4",Смольнинское,"Ассортимент неплохой, и цены на кое-что ниже, чем в соседнем""Магните"". Помещение тесное, выкладка товаров убогая, неопрятная, да и в магазине, как и почти во всех ""Дикси"" , грязновато. Кассир доброжелательная, позитивная!",3.0,2022-08-09,текст про чистоту магазина
Пятерочка,Супермаркет,"Моисеенко, 22, лит.З",Смольнинское,"Ассортимент никакой. Из всех 5чек, что я посещал - эта самая плохая.",3.0,2022-04-23,текст про цены товаров
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,"Ассортимент обычный, меня устраивает, главное, что есть скидка пенсионерам, баллы тоже капают. Расположение удобное, поэтому часто бывают очереди, приходится постоять. Продавцы вежливые.",4.0,2023-01-10,текст про расположение магазина
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Ассортимент отличный. Есть зона, где можно перекусить. Есть платный туалет. В «часы пик» сложно разойтись, т.к.входят с двух разных улиц, а проход основной один. Возможно помогло бы настроить параллельные «дороги» движения.",5.0,2023-03-15,текст про расположение магазина
Пятерочка,Супермаркет,"Манежная площадь, 6",Дворцовый,Ассортимент скудный,3.0,2022-10-24,текст про цены товаров
Пятерочка,Супермаркет,"Моисеенко, 22, лит.З",Смольнинское,Ассортимент слабенький..,2.0,2022-08-29,текст про качество товаров
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,"Ассортимент слабоват, зато всë свежее",3.0,2022-06-11,текст про качество товаров
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Ассортимент слабый. Работники в пекарне никакие, плохо владеют русским языком не знают состав блюд",3.0,2023-08-25,текст про персонал магазина
Пятерочка,Супермаркет,"Марата, 65/20",Владимирский,Ассортимент соответствует площади,4.0,2022-01-23,текст про расположение магазина
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,Ассортимент супер! Цены норм. Вкусная готовая еда. Микроволновки. Есть где помыть руки. Правда туалет платный.,5.0,2023-06-20,текст про ассортимент товаров
Дикси,Супермаркет,"Большая Московская, 5",Владимирский,"Ассортимент товара неплохой, есть готовая еда. Минус за подгнившие фрукты",4.0,2022-07-27,текст про ассортимент товаров
Пятерочка,Супермаркет,"Полтавский проезд, 2",Лиговка-Ямская,Ассортимент товара очень маленький!,3.0,2022-11-29,текст про качество товаров
Вкусвилл,Супермаркет,"Суворовский проспект, 35",Смольнинское,"Ассортимент товаров достаточно широк. Отношение персонал 2+ из 5. Позор. Цент города, дорогой магазин, а персонал к покупателю относится как к плебею, или пустому месту. Позор!",2.0,2023-07-01,текст про персонал магазина
Пятерочка,Супермаркет,"Кременчугская, 9 к1",Лиговка-Ямская,Ассортимент товаров мне понравился.,4.0,2022-09-09,текст про ассортимент товаров
Пятерочка,Супермаркет,"Манежная площадь, 6",Дворцовый,Ассортимент товаров радует. Есть кассы самообслуживания. Магазин чистый.,5.0,2023-08-30,текст про чистоту магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Ассортимент товаров, обслуживание, очень вкусная выпечка",5.0,2023-04-26,текст про качество товаров
Дикси,Супермаркет,"Лиговский проспект, 91",Владимирский,Ассортимент удовлетворительный.Тесно.,4.0,2023-08-27,текст про качество товаров
Магнит,Супермаркет,"7-я Советская, 15/19",Смольнинское,"Ассортимент уже нормальный, но срелненькиф по меркам магнита, но и так сойдёт",5.0,2023-08-23,текст про качество товаров
Дикси,Супермаркет,"Белинского, 1",Литейный,Ассортимент хороший,5.0,2022-07-13,текст про качество товаров
Пятерочка,Супермаркет,"Суворовский проспект, 10",Смольнинское,"Ассортимент хороший, есть свежие овощи и фрукты, некоторые позиции понравились. Консультанты стараются помочь покупателю.",4.0,2022-10-25,текст про ассортимент товаров
Дикси,Супермаркет,"Белинского, 1",Литейный,"Ассортимент хороший,вот только единственный минус который никак не относится к самому магазину-некоторого рода покупатели,которые хамят продавцам,но и очереди не большие",5.0,2022-07-27,текст про чистоту магазина
Пятерочка,Супермаркет,"Моисеенко, 22, лит.З",Смольнинское,Ассортимент хороший. Выпечка отличная.,5.0,2022-05-03,текст про ассортимент товаров
Пятерочка,Супермаркет,"Моисеенко, 22, лит.З",Смольнинское,"Ассортимент широкий, персонал доброжелательный, качество товара хорошее, чисто, кассы как самообслуживания, так и классические, местоположение супер: через дорогу Невская ратуша и центральное отделение ВТБ",4.0,2023-07-15,текст про персонал магазина
